FID_377_El,field_1,F_,Velocidad,VOLUMEN_CO,Distancia,Altitud,Curso,ANO,MES,DIA,HORA,MIN,SEG,Latitud,Longitud,xcoord,ycoord,x_mina,y_mina,RASTERVALU,FID_Pol_SL,Cat_Zona,Pit,Cat_Bench,Bench,Camino,Tramo,Pendiente,MC,Cat_Carga
423208,364670,170072,59,"220670.07","40220.22",3071,270,2021,9,16,23,48,13,-24.261975,-69.011795,499008.8104,7317116.777,22333.59742,108727.0968,3057.41040039,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
423209,364671,170073,59,"220670.07","-----",3071,272,2021,9,16,23,48,14,-24.261965,-69.011948,498993.2798,7317117.883,22318.06683,108728.2027,3057.31958008,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
423207,364669,170071,59,"220670.07","40220.16",3069,264,2021,9,16,23,48,9,-24.261962,-69.011132,499076.1091,7317118.222,22400.89608,108728.5417,3058.26513672,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
423200,358917,164319,63,"219229.45","40117.47",3064,260,2021,9,16,19,21,17,-24.261957,-69.0112,499069.2066,7317118.775,22393.9936,108729.0948,3058.23242188,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
423064,594196,145280,57,"266913.53","-----",3063,267,2021,9,30,16,35,4,-24.26195,-69.011108,499078.5451,7317119.551,22403.33213,108729.8706,3058.28686523,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
423063,594195,145279,57,"266913.53","43553.11",3064,264,2021,9,30,16,35,2,-24.261945,-69.010957,499093.8726,7317120.105,22418.65957,108730.4254,3058.32275391,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
422564,358918,164320,63,"219229.76","40117.51",3064,268,2021,9,16,19,21,19,-24.26194,-69.011558,499032.8671,7317120.654,22357.65413,108730.9741,3057.68139648,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
422684,385811,191301,44,"224147.11","40489.5",3071,269,2021,9,17,18,4,22,-24.261938,-69.011605,499028.0963,7317120.875,22352.8833,108731.1951,3057.54638672,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
423050,590584,141668,59,"266262.46","-----",3065,270,2021,9,30,13,18,43,-24.261935,-69.012055,498982.4184,7317121.203,22307.20536,108731.5234,3057.15600586,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
422579,361943,167345,63,"219942.28","40169.14",3051,271,2021,9,16,21,47,7,-24.261935,-69.011963,498991.757,7317121.204,22316.54395,108731.5242,3057.31103516,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
423049,590583,141667,59,"-----","-----",3064,269,2021,9,30,13,18,42,-24.261935,-69.011878,499000.385,7317121.205,22325.172,108731.5249,3057.34082031,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
423048,590582,141666,59,"266262.46","-----",3064,269,2021,9,30,13,18,41,-24.261932,-69.011712,499017.2351,7317121.539,22342.02205,108731.8585,3057.43066406,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
423065,594197,145281,56,"266913.53","43553.17",3065,269,2021,9,30,16,35,6,-24.261932,-69.011573,499031.3445,7317121.54,22356.13145,108731.8597,3057.6472168,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
422589,364668,170070,60,"220669.8","40220.12",3068,256,2021,9,16,23,48,7,-24.26193,-69.010795,499110.3165,7317121.767,22435.10349,108732.0875,3058.61791992,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
422687,385814,191304,52,"-----","-----",3073,269,2021,9,17,18,4,38,-24.261925,-69.013695,498815.9476,7317122.295,22140.73461,108732.6152,3055.5078125,6,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Main road","SL_T1",0.65,"0",""
423047,590581,141665,60,"266262.46","43503",3063,267,2021,9,30,13,18,38,-24.261923,-69.011383,499050.6306,7317122.538,22375.41761,108732.8578,3058.1394043,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
422686,385813,191303,52,"224148.37","-----",3073,267,2021,9,17,18,4,37,-24.261922,-69.013565,498829.1434,7317122.629,22153.93042,108732.9487,3055.48364258,6,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Main road","SL_T1",0.65,"0",""
423062,594194,145278,57,"266913.53","43553.08",3066,258,2021,9,30,16,35,0,-24.261917,-69.01065,499125.0348,7317123.208,22449.82182,108733.528,3058.79150391,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
422580,361944,167346,63,"219942.54","-----",3054,268,2021,9,16,21,47,13,-24.261913,-69.012795,498907.3033,7317123.633,22232.09033,108733.9526,3056.17700195,6,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Main road","SL_T1",0.65,"0",""
422685,385812,191302,46,"224147.11","-----",3072,272,2021,9,17,18,4,27,-24.261913,-69.01213,498974.8052,7317123.639,22299.59216,108733.9586,3057.109375,6,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Main road","SL_T1",0.65,"0",""
422969,455702,6674,51,"236062.96","-----",3061,267,2021,9,20,13,11,25,-24.261912,-69.011345,499054.4878,7317123.756,22379.27475,108734.076,3058.18066406,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
422578,361942,167344,64,"219942.28","40169.06",3053,266,2021,9,16,21,47,4,-24.261912,-69.011253,499063.8264,7317123.757,22388.61335,108734.0768,3058.13964844,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
422968,455701,6673,51,"236062.96","41321.9",3062,267,2021,9,20,13,11,23,-24.261912,-69.0112,499069.2062,7317123.757,22393.9932,108734.0772,3058.21118164,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
422565,358919,164321,63,"219229.76","-----",3065,271,2021,9,16,19,21,23,-24.26191,-69.012245,498963.1319,7317123.97,22287.91888,108734.2897,3057.01611328,6,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Main road","SL_T1",0.65,"0",""
422590,364672,170074,60,"220670.86","-----",3065,271,2021,9,16,23,48,24,-24.261908,-69.013435,498842.3391,7317124.18,22167.12611,108734.5,3055.57714844,6,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Main road","SL_T1",0.65,"0",""
422567,358921,164323,63,"219230.39","-----",3065,271,2021,9,16,19,21,25,-24.261908,-69.012588,498928.3151,7317124.188,22253.10213,108734.5081,3056.44506836,6,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Main road","SL_T1",0.65,"0",""
422566,358920,164322,63,"-----","-----",3065,270,2021,9,16,19,21,24,-24.261908,-69.012413,498946.0788,7317124.19,22270.86577,108734.5097,3056.69311523,6,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Main road","SL_T1",0.65,"0",""
422577,361941,167343,64,"219942.28","-----",3053,262,2021,9,16,21,47,3,-24.261908,-69.011078,499081.59,7317124.201,22406.37696,108734.5211,3058.27905273,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
422595,364677,170079,59,"220672.11","-----",3059,270,2021,9,16,23,48,44,-24.261903,-69.016868,498493.8672,7317124.696,21818.6542,108735.0158,3054.51611328,6,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Main road","SL_T1",0.65,"0",""
422683,385810,191300,43,"224146.64","40489.43",3070,264,2021,9,17,18,4,18,-24.261903,-69.010963,499093.2632,7317124.756,22418.05016,108735.0756,3058.31811523,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
422594,364676,170078,59,"220672.11","40220.73",3058,270,2021,9,16,23,48,43,-24.261898,-69.016708,498510.1082,7317125.251,21834.89517,108735.5713,3054.55786133,6,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Main road","SL_T1",0.65,"0",""
422591,364673,170075,60,"-----","-----",3064,272,2021,9,16,23,48,25,-24.261898,-69.013603,498825.2859,7317125.286,22150.07291,108735.6056,3055.4909668,6,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Main road","SL_T1",0.65,"0",""
423066,594198,145282,59,"266913.9","-----",3059,270,2021,9,30,16,35,14,-24.261897,-69.012733,498913.5966,7317125.405,22238.38357,108735.7247,3056.20751953,6,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Main road","SL_T1",0.65,"0",""
422576,361940,167342,64,"219942.28","40169.03",3053,258,2021,9,16,21,47,1,-24.261895,-69.010903,499099.3535,7317125.642,22424.14048,108735.9618,3058.49511719,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
422682,385809,191299,42,"224146.64","-----",3070,261,2021,9,17,18,4,17,-24.261892,-69.010833,499106.4589,7317125.975,22431.24591,108736.2946,3058.57592773,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
