FID_886_El,field_1,F_,Velocidad,VOLUMEN_CO,Distancia,Altitud,Curso,ANO,MES,DIA,HORA,MIN,SEG,Latitud,Longitud,xcoord,ycoord,x_mina,y_mina,RASTERVALU,FID_Pol_en,Bench,Cat_Bench,Rampa,MC,Pendiente,Tramo,Pit,Cat_Zona,Cat_Carga
9110,11918,12032,9,"732179.55","47797.21",3137,106,2021,8,23,18,51,0,-24.22185,-69.042175,495923.7015,7321558.82,19248.48853,113169.1403,3141.12915039,27,"Out Bench","Out Bench","Main ramp",0,1.05,"RN_T22","ENORTE","INPIT",""
9111,11919,12033,9,"732179.55","47797.21",3137,98,2021,8,23,18,51,1,-24.221848,-69.042145,495926.7476,7321559.043,19251.53461,113169.3627,3141.13256836,27,"Out Bench","Out Bench","Main ramp",0,1.05,"RN_T22","ENORTE","INPIT",""
9124,13620,13734,6,"732440.99","47808.86",3129,104,2021,8,23,20,37,28,-24.221845,-69.042098,495931.5198,7321559.376,19256.30681,113169.6963,3141.36254883,27,"Out Bench","Out Bench","Main ramp",0,1.05,"RN_T22","ENORTE","INPIT",""
9125,13621,13735,7,"732440.99","47808.86",3129,92,2021,8,23,20,37,29,-24.221845,-69.042077,495933.6521,7321559.377,19258.43911,113169.6969,3141.4597168,27,"Out Bench","Out Bench","Main ramp",0,1.05,"RN_T22","ENORTE","INPIT",""
9126,13622,13736,8,"732440.99","47808.87",3130,90,2021,8,23,20,37,30,-24.221842,-69.042045,495936.9012,7321559.71,19261.68824,113170.03,3141.46728516,27,"Out Bench","Out Bench","Main ramp",0,1.05,"RN_T22","ENORTE","INPIT",""
9109,11917,12031,9,"732179.55","47797.21",3136,122,2021,8,23,18,50,59,-24.221838,-69.042198,495921.3657,7321560.148,19246.15274,113170.4682,3141.08520508,27,"Out Bench","Out Bench","Main ramp",0,1.05,"RN_T22","ENORTE","INPIT",""
9123,13619,13733,6,"732440.99","47808.86",3129,97,2021,8,23,20,37,27,-24.221838,-69.04213,495928.2703,7321560.15,19253.05735,113170.4703,3141.35888672,27,"Out Bench","Out Bench","Main ramp",0,1.05,"RN_T22","ENORTE","INPIT",""
9114,11922,12036,10,"732180.49","47797.22",3138,83,2021,8,23,18,51,4,-24.221837,-69.042053,495936.0888,7321560.263,19260.87577,113170.5834,3141.44677734,27,"Out Bench","Out Bench","Main ramp",0,1.05,"RN_T22","ENORTE","INPIT",""
9127,13623,13737,9,"732441.78","47808.87",3130,82,2021,8,23,20,37,31,-24.221837,-69.042023,495939.1349,7321560.264,19263.92192,113170.5843,3141.45898438,27,"Out Bench","Out Bench","Main ramp",0,1.05,"RN_T22","ENORTE","INPIT",""
9113,11921,12035,9,"732180.49","47797.22",3138,93,2021,8,23,18,51,3,-24.221835,-69.042092,495932.1287,7321560.484,19256.91571,113170.8037,3141.33251953,27,"Out Bench","Out Bench","Main ramp",0,1.05,"RN_T22","ENORTE","INPIT",""
9115,11923,12037,10,"732180.49","47797.22",3139,76,2021,8,23,18,51,5,-24.22183,-69.042023,495939.1347,7321561.039,19263.92168,113171.3594,3141.45898438,27,"Out Bench","Out Bench","Main ramp",0,1.05,"RN_T22","ENORTE","INPIT",""
9112,11920,12034,9,"732180.49","-----",3137,98,2021,8,23,18,51,2,-24.221828,-69.042122,495929.0823,7321561.258,19253.86932,113171.5778,3141.30126953,27,"Out Bench","Out Bench","Main ramp",0,1.05,"RN_T22","ENORTE","INPIT",""
9128,13624,13738,9,"732441.78","47808.87",3131,72,2021,8,23,20,37,32,-24.221828,-69.041992,495942.2823,7321561.262,19267.0693,113171.5817,3141.5925293,27,"Out Bench","Out Bench","Main ramp",0,1.05,"RN_T22","ENORTE","INPIT",""
9122,13618,13732,6,"732440.98","47808.86",3128,110,2021,8,23,20,37,26,-24.221827,-69.042153,495925.9346,7321561.368,19250.7216,113171.6875,3141.17993164,27,"Out Bench","Out Bench","Main ramp",0,1.05,"RN_T22","ENORTE","INPIT",""
9116,11924,12038,10,"732180.49","47797.23",3139,69,2021,8,23,18,51,6,-24.221822,-69.042,495941.4698,7321561.926,19266.2568,113172.2458,3141.58300781,27,"Out Bench","Out Bench","Main ramp",0,1.05,"RN_T22","ENORTE","INPIT",""
